Jurisidction Name,Key Law Original Title,Key Law English Translated Title ,Key Law Corpus Identifier,In Effect/Repealed/NYIF (Not Yet In Force),Originally Passed ,Currently Applicable,"Sector: Public, Private, or Both (From Tables) ",First Privacy Law,This Law Promulgated,Last: Latest Revision,International Agreements (From Tables),Member (From Tables),Original Language,Document Source: Original ,Government Website? ,Document Source: English ,Translation Type ,Starting Source,Plain Text File Directory File Path ,Date of Retrieval of Original,Date of Retrieval of English Translation,Comments/Notes,
Canada,Personal Information Protection and Electronic Documents Act (PIPEDA),[Not Applicable],Canada (Personal Information Protection and Electronic Documents Act (PIPEDA)).txt,In Effect,Canada,Canada,Private,1983,2000,2019,ICCPR+OP; GDPR(Adq); CBPR(S); CPTPP(R);,APEC; OECD,English,https://www.dataguidance.com/sites/default/files/p-8.6.pdf,N,[Not Applicable],[Not Applicable],Greenleaf 2019,gpi-corpus/laws/plain text files/english text files/original english text files,6/2/21,6/2/21,[Not Applicable],
Canada,Privacy Act,[Not Applicable],Canada (Privacy Act).txt,In Effect,Canada,Canada,Public,1983,1985,2019,ICCPR+OP; GDPR(Adq); CBPR(S); CPTPP(R);,APEC; OECD,English,https://laws-lois.justice.gc.ca/PDF/P-21.pdf,Y,[Not Applicable],[Not Applicable],Greenleaf 2019,gpi-corpus/laws/plain text files/english text files/original english text files,6/2/21,6/2/21,[Not Applicable],
Canada,Bank Act 1991,[Not Applicable],Canada (Bank Act 1991).txt,In Effect,Canada,Canada,[Not Applicable],1983,1991,2017,ICCPR+OP; GDPR(Adq); CBPR(S); CPTPP(R);,APEC; OECD,English,https://laws-lois.justice.gc.ca/PDF/B-1.01.pdf,Y,[Not Applicable],[Not Applicable],https://www.dataguidance.com/jurisdiction/canada-federal,gpi-corpus/laws/plain text files/english text files/original english text files,6/2/21,6/2/21,[Not Applicable],
Canada,"Proceeds of Crime (Money laundering) and Terrorist Financing Act, 2000",[Not Applicable],"Canada (Proceeds of Crime (Money laundering) and Terrorist Financing Act, 2000).txt",In Effect,Canada,Canada,[Not Applicable],1983,2000,2020,ICCPR+OP; GDPR(Adq); CBPR(S); CPTPP(R);,APEC; OECD,English,https://laws-lois.justice.gc.ca/eng/acts/p-24.501/,Y,[Not Applicable],[Not Applicable],https://www.priv.gc.ca/en/privacy-topics/surveillance/police-and-public-safety/financial-transaction-reporting/faqs_pcmltfa_01/,gpi-corpus/laws/plain text files/english text files/original english text files,6/2/21,6/2/21,[Not Applicable],
Canada,"An Act to promote the efficiency and adaptability of the Canadian economy by regulating certain activities that discourage reliance on electronic means of carrying out commercial activities, and to amend the Canadian Radio-television and Telecommunications Commission Act, the Competition Act, the Personal Information Protection and Electronic Documents Act and the Telecommunications Act",[Not Applicable],Canada (An Act to promote the efficiency and adaptability of the Canadian economy).txt,In Effect,Canada,Canada,[Not Applicable],1983,2010,2015,ICCPR+OP; GDPR(Adq); CBPR(S); CPTPP(R);,APEC; OECD,English,https://laws-lois.justice.gc.ca/PDF/E-1.6.pdf,Y,[Not Applicable],[Not Applicable],https://www.dataguidance.com/notes/canada-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/2/21,6/2/21,[Not Applicable],
Canada,Preventing and Responding to a Privacy Breach (Office of the Privacy Commissioner of Canada),[Not Applicable],Canada (Preventing and Responding to a Privacy Breach (Office of the Privacy Commissioner of Canada)).txt,In Effect,Canada,Canada,[Not Applicable],1983,2018,2018,ICCPR+OP; GDPR(Adq); CBPR(S); CPTPP(R);,APEC; OECD,English,https://www.priv.gc.ca/en/privacy-topics/business-privacy/safeguards-and-breaches/privacy-breaches/respond-to-a-privacy-breach-at-your-business/c-t_201809_pb/,Y,[Not Applicable],[Not Applicable],https://www.dataguidance.com/notes/canada-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/2/21,6/2/21,[Not Applicable],
Canada,Guidelines for Obtaining Meaningful Consent (Office of the Privacy Commissioner of Canada),[Not Applicable],Canada (Guidelines for Obtaining Meaningful Consent (Office of the Privacy Commissioner of Canada)).txt,In Effect,Canada,Canada,[Not Applicable],1983,2018,2018,ICCPR+OP; GDPR(Adq); CBPR(S); CPTPP(R);,APEC; OECD,English,https://www.priv.gc.ca/en/privacy-topics/collecting-personal-information/consent/gl_omc_201805/,Y,[Not Applicable],[Not Applicable],https://www.dataguidance.com/notes/canada-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/2/21,6/2/21,[Not Applicable],
Canada,Guidlines on Inappropriate Data Practices: Interpretation and Application of Subsection 5(3) (Office of the Privacy Commissioner of Canada),[Not Applicable],Canada (Guidlines on Inappropriate Data Practices- Interpretation and Application of Subsection 5(3) (Office of the Privacy Commissioner of Canada)).txt,In Effect,Canada,Canada,[Not Applicable],1983,2018,2018,ICCPR+OP; GDPR(Adq); CBPR(S); CPTPP(R);,APEC; OECD,English,https://www.priv.gc.ca/en/privacy-topics/collecting-personal-information/consent/gd_53_201805/,Y,[Not Applicable],[Not Applicable],https://www.dataguidance.com/notes/canada-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/2/21,6/2/21,[Not Applicable],
Canada,Recording of Customer Telephone Calls (Office of the Privacy Commissioner of Canada),[Not Applicable],Canada (Recording of Customer Telephone Calls (Office of the Privacy Commissioner of Canada)).txt,In Effect,Canada,Canada,[Not Applicable],1983,1983,2018,ICCPR+OP; GDPR(Adq); CBPR(S); CPTPP(R);,APEC; OECD,English,https://www.priv.gc.ca/en/privacy-topics/surveillance/02_05_d_14/,Y,[Not Applicable],[Not Applicable],https://www.dataguidance.com/notes/canada-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/2/21,6/2/21,[Not Applicable],
Canada,Guidelines for Identification and Authentication (Office of the Privacy Commissioner of Canada),[Not Applicable],Canada (Guidelines for Identification and Authentication (Office of the Privacy Commissioner of Canada)).txt,In Effect,Canada,Canada,[Not Applicable],1983,2016,2016,ICCPR+OP; GDPR(Adq); CBPR(S); CPTPP(R);,APEC; OECD,English,https://www.priv.gc.ca/en/privacy-topics/identities/identification-and-authentication/auth_061013/,Y,[Not Applicable],[Not Applicable],https://www.dataguidance.com/notes/canada-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/2/21,6/2/21,[Not Applicable],
Canada,PIPEDA and the Proceeds of Crime (Money Laundering) and Terrorist Financing Act (Office of the Privacy Commissioner of Canada),[Not Applicable],Canada (PIPEDA and the Proceeds of Crime (Money Laundering) and Terrorist Financing Act (Office of the Privacy Commissioner of Canada)).txt,In Effect,Canada,Canada,[Not Applicable],1983,2012,2012,ICCPR+OP; GDPR(Adq); CBPR(S); CPTPP(R);,APEC; OECD,English,https://www.priv.gc.ca/en/privacy-topics/surveillance/police-and-public-safety/financial-transaction-reporting/faqs_pcmltfa_01/,Y,[Not Applicable],[Not Applicable],https://www.dataguidance.com/jurisdiction/canada-federal,gpi-corpus/laws/plain text files/english text files/original english text files,6/2/21,6/2/21,[Not Applicable],
Canada,Guidelines on Privacy and Online Behavioral Advertising (Office of the Privacy Commissioner of Canada),[Not Applicable],Canada (Guidelines on Privacy and Online Behavioral Advertising (Office of the Privacy Commissioner of Canada)).txt,In Effect,Canada,Canada,[Not Applicable],1983,2011,2011,ICCPR+OP; GDPR(Adq); CBPR(S); CPTPP(R);,APEC; OECD,English,https://www.priv.gc.ca/en/privacy-topics/technology/online-privacy-tracking-cookies/tracking-and-ads/gl_ba_1112/,Y,[Not Applicable],[Not Applicable],https://www.dataguidance.com/notes/canada-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/2/21,6/2/21,[Not Applicable],
Canada,Privacy and the COVID-19 Outbreak (Office of the Privacy Commissioner of Canada),[Not Applicable],Canada (Privacy and the COVID-19 Outbreak (Office of the Privacy Commissioner of Canada)).txt,In Effect,Canada,Canada,[Not Applicable],1983,2020,2020,ICCPR+OP; GDPR(Adq); CBPR(S); CPTPP(R);,APEC; OECD,English,https://www.priv.gc.ca/en/privacy-topics/health-genetic-and-other-body-information/health-emergencies/gd_covid_202003/,Y,[Not Applicable],[Not Applicable],https://www.dataguidance.com/notes/canada-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,8/3/21,8/3/21,[Not Applicable],
Cambodia,Law on Consumer Protection,[Not Applicable],Cambodia (Law on Consumer Protection).txt,In Effect,Cambodia,Cambodia,[Not Applicable],2019,2019,[None],[Not Applicable],[Not Applicable],Khmer,[None],N,https://ibccambodia.com/wp-content/uploads/2020/01/Law-on-Consumer-Protection_EN.pdf,[Not Applicable],[None],gpi-corpus/laws/plain text files/english text files/original english text files,6/27/21,6/27/21,OCR (i2OCR),
Cambodia,"Civil Code, 2007",[Not Applicable],"Cambodia (Civil Code, 2007).txt",In Effect,Cambodia,Cambodia,[Not Applicable],2007,2007,[None],[Not Applicable],[Not Applicable],Khmer/English,[None],N,https://www.dataguidance.com/legal-research/civil-code-cambodia-2007,Official Translation,https://www.dataguidance.com/notes/cambodia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/2/01,6/2/01,[Not Applicable],
Cambodia,Code of Criminal Procedure,[Not Applicable],Cambodia (Code of Criminal Procedure).txt,In Effect,Cambodia,Cambodia,[Not Applicable],2007,2007,[None],[Not Applicable],[Not Applicable],Khmer/English,[None],N,https://www.oecd.org/site/adboecdanti-corruptioninitiative/46814242.pdf,Official Translation,[None],gpi-corpus/laws/plain text files/english text files/original english text files,6/27/21,6/27/21,[Not Applicable],
Cambodia,Law on Banking and Financial Institutions 1999,[Not Applicable],Cambodia (Law on Banking and Financial Institutions 1999).txt,In Effect,Cambodia,Cambodia,[Not Applicable],1999,1999,[None],[Not Applicable],[Not Applicable],Khmer/English,[None],N,https://www.nbc.org.kh/download_files/legislation/laws_eng/86004-Law-on-Banking-and-Financial-Institutions-1999.pdf,Official Translation,https://www.dataguidance.com/notes/cambodia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/2/21,6/2/21,[Not Applicable],
Cambodia,"The Law on the Management of Private Medical, Paramedical, Medical Aide Profession 2000",[Not Applicable],"Cambodia (The Law on the Management of Private Medical, Paramedical, Medical Aide Profession 2000).txt",In Effect,Cambodia,Cambodia,[Not Applicable],2000,2000,[None],[Not Applicable],[Not Applicable],Khmer/English,[None],Y,"http://moh.gov.kh/content/uploads/Laws_and_Regulations/Law/Law%20on%20management%20of%20Private%20Medical,%20Paramedical,%20and%20Medical%20Aids%20Practices%20Eng.pdf",Unofficial Translation,https://www.dataguidance.com/notes/cambodia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/27/21,6/27/21,[Not Applicable],
Cambodia,Sub-decree on the Code of Medical Ethics 2003,[Not Applicable],Cambodia (Sub-decree on the Code of Medical Ethics 2003).txt,In Effect,Cambodia,Cambodia,[Not Applicable],2003,2003,[None],[Not Applicable],[Not Applicable],Khmer/English,[None],N,http://www.mcc.org.kh/publications/17_fs_en.pdf,Official Translation,https://www.dataguidance.com/notes/cambodia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/27/21,6/27/21,[Not Applicable],
Cambodia,Sub-decree on the Code of Ethics for Midwives 2013,[Not Applicable],Cambodia (Sub-decree on the Code of Ethics for Midwives 2013).txt,In Effect,Cambodia,Cambodia,[Not Applicable],2013,2013,[None],[Not Applicable],[Not Applicable],Khmer/English,[None],N,http://www.cmidwivesc.org/documents/publications/pfs_23.pdf,Unofficial Translation,https://www.dataguidance.com/notes/cambodia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/27/21,6/27/21,[Not Applicable],
Cambodia,Sub-decree on the Code of Ethics for Nurses 2014,[Not Applicable],Cambodia (Sub-decree on the Code of Ethics for Nurses 2014).txt,In Effect,Cambodia,Cambodia,[Not Applicable],2014,2014,[None],[Not Applicable],[Not Applicable],Khmer/English,[None],N,http://cambodiancouncilofnurse.com/wp-content/uploads/2017/05/Sub-Decree-on-Code-of-Ethics-for-Nurse_Eng.pdf,Unofficial Translation,https://www.dataguidance.com/notes/cambodia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/27/21,6/27/21,[Not Applicable],
Cambodia,Sub-decree on Dentist's Code of Ethics 2009,[Not Applicable],Cambodia (Sub-decree on Dentist_s Code of Ethics 2009).txt,In Effect,Cambodia,Cambodia,[Not Applicable],2009,2009,[None],[Not Applicable],[Not Applicable],Khmer/English,[None],N,http://www.dentalcouncilofcambodia.com/uploads/document/english/Sub-decree%20on%20Dentist%20Code%20of%20Ethics_Eng.pdf,Official Translation,https://www.dataguidance.com/notes/cambodia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/27/21,6/27/21,[Not Applicable],
Cambodia,Law on Telecommunications 2015,[Not Applicable],Cambodia (Law on Telecommunications 2015).txt,In Effect,Cambodia,Cambodia,[Not Applicable],2015,2015,[None],[Not Applicable],[Not Applicable],Khmer/English,[None],Y,https://www.trc.gov.kh/wp-content/uploads/2016/03/Law-on-Telecommunicaiton-in-Eglish-Unofficial-Translation.pdf,Unofficial Translation,https://www.dataguidance.com/notes/cambodia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/27/21,6/27/21,[Not Applicable],
Cameroon,Journal Officiel de la R√©publique du Cameroun portant Code de Proc√©dure P√©nale N¬∞2005/007 27 Juillet 2005,Law No. 2005/007 of 27 July 2005 on the Criminal Procedure Code,Cameroon (Journal Officiel de la République du Cameroun portant Code de Procédure Pénale N°2005_007 27 Juillet 2005).txt,In Effect,Cameroon,Cameroon,[Not Applicable],2005,2005,[None],[Not Applicable],[Not Applicable],French,http://www.africanchildforum.org/clr/Legislation%20Per%20Country/cameroon/cameroon_cripro_2005_fr.pdf,N,[None],Non-Government Machine,https://www.dataguidance.com/notes/cameroon-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/4/21,6/4/21,[Not Applicable],
Cameroon,Loi no 2000/011 du 19 d√©cembre 2000 relative au droit d‚Äôauteur et aux droits voisins,Law No. 2000/011 of 19 December 2000 on Copyright and Neighbouring Rights,Cameroon (Loi no 2000_011 du 19 décembre 2000 relative au droit d’auteur et aux droits voisins).txt,In Effect,Cameroon,Cameroon,[Not Applicable],2000,2000,[None],[Not Applicable],[Not Applicable],French,https://barreaucameroun.org/site/droit-dauteur-et-droits-voisins-loi-n-2000-011-du-19-decembre-2000/,N,[None],Non-Government Machine,https://www.dataguidance.com/notes/cameroon-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/4/21,6/4/21,[Not Applicable],
Cameroon,LOI N¬∞ 2003/004 DU 21 AVRIL 2003 RELATIVE AU SECRET BANCAIRE,Law No. 2003/004 of 21 April 2003 on Banking Secrecy,Cameroon (LOI N° 2003_004 DU 21 AVRIL 2003 RELATIVE AU SECRET BANCAIRE).txt,In Effect,Cameroon,Cameroon,[Not Applicable],2003,2003,[None],[Not Applicable],[Not Applicable],French,http://opencamer.blogspot.com/2013/09/loi-n-2003004-du-21-avril-2003-relative.html,N,[None],Non-Government Machine,https://www.dataguidance.com/notes/cameroon-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/4/21,6/4/21,[Not Applicable],
Cameroon,LOI N¬∞2010/013 DU 21 DECEMBRE 2010 REGISSANT LES COMMUNICATIONS ELECTRONIQUES AU CAMEROUN,Law No. 2010/013 of 21 December 2010 Regulating Electronic Communications in Cameroon,Cameroon (LOI N°2010_013 DU 21 DECEMBRE 2010 REGISSANT LES COMMUNICATIONS ELECTRONIQUES AU CAMEROUN).txt,In Effect,Cameroon,Cameroon,[Not Applicable],2010,2010,[None],[Not Applicable],[Not Applicable],French,http://www.art.cm/sites/default/files/documents/Loi_2010-013_communications_electroniques.pdf,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/cameroon-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/4/21,6/4/21,[Not Applicable],
Cameroon,LOI N¬∞2010/012 DU 21 DECEMBRE 2010 RELATIVE A LA CYBERSECURITE ET LA CYBERCRIMINALITE AU CAMEROUN,Law No. 2010/012 of 21 December 2010 on Cybersecurity and Cybercrime in Cameroon,Cameroon (LOI N°2010_012 DU 21 DECEMBRE 2010 RELATIVE A LA CYBERSECURITE ET LA CYBERCRIMINALITE AU CAMEROUN).txt,In Effect,Cameroon,Cameroon,[Not Applicable],2010,2010,[None],[Not Applicable],[Not Applicable],French,http://www.art.cm/sites/default/files/documents/loi_2010-012_cybersecurite_cybercriminalite.pdf,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/cameroon-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/4/21,6/4/21,[Not Applicable],
Cameroon,LOI-CADRE N¬∞ 2011/012 DU 6 MAI 2011 PORTANT PROTECTION DU CONSOMMATEUR AU CAMEROUN,Law No. 2011/012 of 06 May 2011 on Consumer Protection in Cameroon,Cameroon (LOI-CADRE N° 2011_012 DU 6 MAI 2011 PORTANT PROTECTION DU CONSOMMATEUR AU CAMEROUN).txt,In Effect,Cameroon,Cameroon,[Not Applicable],2011,2011,[None],[Not Applicable],[Not Applicable],French,https://www.fratel.org/documents/2011/12/201105-Cameroun-Loi_cadre_protection_consommateur.pdf,N,[None],Non-Government Machine,https://www.dataguidance.com/notes/cameroon-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/4/21,6/4/21,[Not Applicable],
